,titles,targets,dates
90,다리너머영도 시즌 3 웹진 시민기자단 모집,"영도와 문화도시 영도의 이야기를 취재하고 콘텐츠로 만들어가고 싶은 사람 누구나 
*영도주민, 경험자 우선 선발",2022.6.3.(금) - 6.15.(수)
91,영도 생태문화축제 기획단 모집,축제기획에 관심이 있고 다양한 문화기획에 직접 참여하고 싶은 청년(10명 이내),2022. 6. 3.(금) ~ 6. 16.(목) 18시까지
92,<영도 기억전당포> 참여하러 가기,2000년 이전 영도 자료를 가진 누구나,
93,2022 모두의 정원 <정원탐사대> 참여자 모집,△ 정원문화에 관심 있는 성인(영도구 주민 우대),5월 23일(월) ~ 6월 6일(월)
94,영도문화공간지도 오픈 이벤트,영도주민 또는 영도문화공간지도에 관심있는 누구나,
95,2022 마이크로비트 청소년 글로벌 해커톤 참여자 모집,"영도 및 부산 거주 14-19세, 50명 선착순",2022. 5. 10.(화) ~ 5. 24.(화) 18:00 마감
96,당신을 위한 예술배달 모집,영도구 소재 공연 장소 제공이 가능한 기관 및 단체 / 동네 예술가,22. 4. 28. ~ 5. 12. 18:00
97,시민참여활동 참가자 모집,"영도 거주시민, 연결시민",2022년 4월 27일까지
98,2022 영도기획자의 집 참여자 모집,"문화기획에 관심 있는 입문단계 시민 70명
※ 영도주민 및 생활권자, 청년 우대
※ 선착순 마감",2022. 3. 30.(수) ~ 4. 14.(목)
99,문화도시 영도 책자 발간 이벤트,문화도시 영도에 관심있는 누구나,
100,영도 사물아카이브 <뜬-소문>,누구나,
101,2022 찾아가는 설명회,시민참여활동에 관심있는 누구나,3월 18일
102,2022 문화도시 영도 풀뿌리문화예술교육 포럼,영도 문화예술교육에 관심 있는 지역민 50인 이내,2021. 12. 27.(월) ~ 선착순 마감
103,2022 문화도시 영도 겨울창의예술학교,영도구 거주 6~16세 우선 선발,2021. 12. 27.(월)  ~ 선착순 마감
104,꼬마정원사의 겨울일기,영도거주 어린이(7세 이상 ~ 13세 이하)꼬마정원사의 겨울일기,2021.12.14-2021.12.17
105,영도 정원사의 열두 달,"누구나 *코로나 방역패스 적용, 선착순 마감",12.22-12.26
106,물양장 콜렉숀,누구나,2021.11.25-2021.12.05
107,프로젝트 영도 시민살롱,17세 이상 영도주민 누구나,~ 2021.11.17
108,예술교육 – 첫사랑,영도에서 예술교육을 하고 싶은 예술가,2021.11.08-2021.11.16
109,찾아가는 특별한 60분,누구나 가능,
110,영도체 이벤트,누구나,
111,"만나자, 열린 공간",주민과 취향과 관심사를 함께 교류할 민간 공간 15곳,2021.10.13-2021.10.21
112,여성기획자 next 스테이지 in 영도,여성 문화기획자 및 (예비)문화예술 종사자,2021.09.24-2021.10.10
113,영도 정원탐사대,만 8세 이상 ~ 성인 누구나,2021.09.23-2021.09.30
114,제29회 영도다리축제,주민 누구나,2021.08.31-2021.09.17
